ckpt,arm,stage,source,metric,value,n,parse_fail_rate,truncation_rate
S2,seq,2,pope,pope_all_f1,0.8649,9000,0.0,0.0
S2,seq,2,pope,pope_all_accuracy,0.8639,9000,0.0,0.0
S2,seq,2,pope,pope_all_precision,0.8586,9000,0.0,0.0
S2,seq,2,pope,pope_all_recall,0.8713,9000,0.0,0.0
S2,seq,2,pope,pope_all_yes_rate,0.5074,9000,0.0,0.0
S2,seq,2,task,task_scienceqa_mc_acc,0.8213,500,0.004,0.0
S2,seq,2,task,task_scienceqa_mean_new_tokens,2.0,500,0.004,0.0
S2,seq,2,task,task_textvqa_vqa_acc,0.571,500,0.0,0.0
S2,seq,2,task,task_textvqa_mean_new_tokens,4.1,500,0.0,0.0
S2,seq,2,task,task_flickr_caption_uf1,0.5342,500,0.0,0.0
S2,seq,2,task,task_flickr_mean_new_tokens,14.5,500,0.0,0.0
S2,seq,2,task,task_vizwiz_vqa_acc,0.5622,500,0.0,0.0
S2,seq,2,task,task_vizwiz_mean_new_tokens,4.0,500,0.0,0.0
S2,seq,2,derived,mean_task_acc,0.6222,4,,
S3,seq,3,chair,chair_s,0.504,500,,0.0
S3,seq,3,chair,chair_i,0.1504,500,,0.0
S3,seq,3,chair,chair_mentions_per_caption,7.684,500,,0.0
S3,seq,3,chair,chair_mean_new_tokens,115.5,500,,0.0
S3,seq,3,chair,chair_truncation_rate,0.0,500,,0.0
S3,seq,3,pope,pope_random_f1,0.8876,3000,0.0,0.0
S3,seq,3,pope,pope_random_accuracy,0.894,3000,0.0,0.0
S3,seq,3,pope,pope_random_precision,0.9444,3000,0.0,0.0
S3,seq,3,pope,pope_random_recall,0.8373,3000,0.0,0.0
S3,seq,3,pope,pope_random_yes_rate,0.4433,3000,0.0,0.0
S3,seq,3,pope,pope_popular_f1,0.8782,3000,0.0,0.0
S3,seq,3,pope,pope_popular_accuracy,0.884,3000,0.0,0.0
S3,seq,3,pope,pope_popular_precision,0.9242,3000,0.0,0.0
S3,seq,3,pope,pope_popular_recall,0.8367,3000,0.0,0.0
S3,seq,3,pope,pope_popular_yes_rate,0.4527,3000,0.0,0.0
S3,seq,3,pope,pope_adversarial_f1,0.8392,3000,0.0,0.0
S3,seq,3,pope,pope_adversarial_accuracy,0.84,3000,0.0,0.0
S3,seq,3,pope,pope_adversarial_precision,0.8432,3000,0.0,0.0
S3,seq,3,pope,pope_adversarial_recall,0.8353,3000,0.0,0.0
S3,seq,3,pope,pope_adversarial_yes_rate,0.4953,3000,0.0,0.0
S3,seq,3,pope,pope_all_f1,0.8679,9000,0.0,0.0
S3,seq,3,pope,pope_all_accuracy,0.8727,9000,0.0,0.0
S3,seq,3,pope,pope_all_precision,0.9018,9000,0.0,0.0
S3,seq,3,pope,pope_all_recall,0.8364,9000,0.0,0.0
S3,seq,3,pope,pope_all_yes_rate,0.4638,9000,0.0,0.0
S3,seq,3,task,task_scienceqa_mc_acc,0.828,500,0.0,0.0
S3,seq,3,task,task_scienceqa_mean_new_tokens,2.0,500,0.0,0.0
S3,seq,3,task,task_textvqa_vqa_acc,0.5828,500,0.0,0.0
S3,seq,3,task,task_textvqa_mean_new_tokens,4.2,500,0.0,0.0
S3,seq,3,task,task_flickr_caption_uf1,0.5365,500,0.0,0.0
S3,seq,3,task,task_flickr_mean_new_tokens,20.8,500,0.0,0.0
S3,seq,3,task,task_vizwiz_vqa_acc,0.5612,500,0.0,0.0
S3,seq,3,task,task_vizwiz_mean_new_tokens,3.9,500,0.0,0.0
S3,seq,3,derived,mean_task_acc,0.6271,4,,
S4,seq,4,chair,chair_s,0.456,500,,0.0
S4,seq,4,chair,chair_i,0.1273,500,,0.0
S4,seq,4,chair,chair_mentions_per_caption,7.134,500,,0.0
S4,seq,4,chair,chair_mean_new_tokens,104.8,500,,0.0
S4,seq,4,chair,chair_truncation_rate,0.0,500,,0.0
S4,seq,4,pope,pope_random_f1,0.8005,3000,0.0,0.0
S4,seq,4,pope,pope_random_accuracy,0.832,3000,0.0,0.0
S4,seq,4,pope,pope_random_precision,0.9854,3000,0.0,0.0
S4,seq,4,pope,pope_random_recall,0.674,3000,0.0,0.0
S4,seq,4,pope,pope_random_yes_rate,0.342,3000,0.0,0.0
S4,seq,4,pope,pope_popular_f1,0.7964,3000,0.0,0.0
S4,seq,4,pope,pope_popular_accuracy,0.8273,3000,0.0,0.0
S4,seq,4,pope,pope_popular_precision,0.9703,3000,0.0,0.0
S4,seq,4,pope,pope_popular_recall,0.6753,3000,0.0,0.0
S4,seq,4,pope,pope_popular_yes_rate,0.348,3000,0.0,0.0
S4,seq,4,pope,pope_adversarial_f1,0.7819,3000,0.0,0.0
S4,seq,4,pope,pope_adversarial_accuracy,0.8123,3000,0.0,0.0
S4,seq,4,pope,pope_adversarial_precision,0.9334,3000,0.0,0.0
S4,seq,4,pope,pope_adversarial_recall,0.6727,3000,0.0,0.0
S4,seq,4,pope,pope_adversarial_yes_rate,0.3603,3000,0.0,0.0
S4,seq,4,pope,pope_all_f1,0.7928,9000,0.0,0.0
S4,seq,4,pope,pope_all_accuracy,0.8239,9000,0.0,0.0
S4,seq,4,pope,pope_all_precision,0.9626,9000,0.0,0.0
S4,seq,4,pope,pope_all_recall,0.674,9000,0.0,0.0
S4,seq,4,pope,pope_all_yes_rate,0.3501,9000,0.0,0.0
S4,seq,4,task,task_scienceqa_mc_acc,0.8041,500,0.02,0.0
S4,seq,4,task,task_scienceqa_mean_new_tokens,2.0,500,0.02,0.0
S4,seq,4,task,task_textvqa_vqa_acc,0.5386,500,0.0,0.0
S4,seq,4,task,task_textvqa_mean_new_tokens,4.0,500,0.0,0.0
S4,seq,4,task,task_flickr_caption_uf1,0.5517,500,0.0,0.0
S4,seq,4,task,task_flickr_mean_new_tokens,17.5,500,0.0,0.0
S4,seq,4,task,task_vizwiz_vqa_acc,0.7112,500,0.0,0.0
S4,seq,4,task,task_vizwiz_mean_new_tokens,3.7,500,0.0,0.0
S4,seq,4,derived,mean_task_acc,0.6514,4,,
J1,joint,1,chair,chair_s,0.502,500,,0.0
J1,joint,1,chair,chair_i,0.1494,500,,0.0
J1,joint,1,chair,chair_mentions_per_caption,7.606,500,,0.0
J1,joint,1,chair,chair_mean_new_tokens,115.0,500,,0.0
J1,joint,1,chair,chair_truncation_rate,0.0,500,,0.0
J1,joint,1,pope,pope_random_f1,0.8043,3000,0.0,0.0
J1,joint,1,pope,pope_random_accuracy,0.8343,3000,0.0,0.0
J1,joint,1,pope,pope_random_precision,0.9827,3000,0.0,0.0
J1,joint,1,pope,pope_random_recall,0.6807,3000,0.0,0.0
J1,joint,1,pope,pope_random_yes_rate,0.3463,3000,0.0,0.0
J1,joint,1,pope,pope_popular_f1,0.7994,3000,0.0,0.0
J1,joint,1,pope,pope_popular_accuracy,0.8293,3000,0.0,0.0
J1,joint,1,pope,pope_popular_precision,0.9696,3000,0.0,0.0
J1,joint,1,pope,pope_popular_recall,0.68,3000,0.0,0.0
J1,joint,1,pope,pope_popular_yes_rate,0.3507,3000,0.0,0.0
J1,joint,1,pope,pope_adversarial_f1,0.7877,3000,0.0,0.0
J1,joint,1,pope,pope_adversarial_accuracy,0.8177,3000,0.0,0.0
J1,joint,1,pope,pope_adversarial_precision,0.9424,3000,0.0,0.0
J1,joint,1,pope,pope_adversarial_recall,0.6767,3000,0.0,0.0
J1,joint,1,pope,pope_adversarial_yes_rate,0.359,3000,0.0,0.0
J1,joint,1,pope,pope_all_f1,0.7971,9000,0.0,0.0
J1,joint,1,pope,pope_all_accuracy,0.8271,9000,0.0,0.0
J1,joint,1,pope,pope_all_precision,0.9646,9000,0.0,0.0
J1,joint,1,pope,pope_all_recall,0.6791,9000,0.0,0.0
J1,joint,1,pope,pope_all_yes_rate,0.352,9000,0.0,0.0
J1,joint,1,task,task_scienceqa_mc_acc,0.728,500,0.0,0.0
J1,joint,1,task,task_scienceqa_mean_new_tokens,2.0,500,0.0,0.0
J1,joint,1,task,task_textvqa_vqa_acc,0.543,500,0.0,0.0
J1,joint,1,task,task_textvqa_mean_new_tokens,4.2,500,0.0,0.0
J1,joint,1,task,task_flickr_caption_uf1,0.5333,500,0.0,0.0
J1,joint,1,task,task_flickr_mean_new_tokens,20.1,500,0.0,0.0
J1,joint,1,task,task_vizwiz_vqa_acc,0.6976,500,0.0,0.0
J1,joint,1,task,task_vizwiz_mean_new_tokens,3.8,500,0.0,0.0
J1,joint,1,derived,mean_task_acc,0.6255,4,,
J2,joint,2,chair,chair_s,0.548,500,,0.0
